Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,46.744411,47.007954,45.771568,46.379387,46.379387,1370928815
2020-10-06,46.361366,48.066715,45.762016,46.023781,46.023781,1898987866
2020-10-07,46.023781,46.882877,45.376209,46.674709,46.674709,1261306261
2020-10-08,46.635387,47.495369,45.865871,47.238403,47.238403,1445771028
2020-10-09,null,null,null,null,null,null
2020-10-10,47.777119,50.408005,47.777119,48.921097,48.921097,2781995604
2020-10-11,48.914909,51.243946,48.865318,50.727901,50.727901,2601103257
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,50.007183,50.975620,49.415432,49.846489,49.846489,2213563866
2020-10-15,49.825611,50.248791,49.058960,49.490372,49.490372,2340485565
2020-10-16,49.534931,49.901913,46.212376,47.692875,47.692875,2331529601
2020-10-17,47.747189,47.747189,46.746178,47.053928,47.053928,2169301016
2020-10-18,47.059418,47.878197,46.973389,47.619545,47.619545,2636565895
2020-10-19,47.641457,48.496487,46.994373,48.098915,48.098915,1771107656
2020-10-20,48.102547,48.440239,46.685162,47.051029,47.051029,1757468523
2020-10-21,47.062843,54.548412,47.055691,53.045330,53.045330,3534993796
2020-10-22,53.015892,56.060555,53.009575,54.267277,54.267277,3814584794
2020-10-23,54.299412,56.667805,53.182617,55.238689,55.238689,3519541892
2020-10-24,55.238728,59.325233,54.814545,59.095589,59.095589,3899047277
2020-10-25,59.095585,59.770901,56.661301,58.674801,58.674801,3725652470
2020-10-26,58.674820,59.097111,55.213219,56.745777,56.745777,3701855843
2020-10-27,56.745750,58.885128,56.510864,57.816051,57.816051,3431678162
2020-10-28,57.816078,60.302204,54.710865,55.742512,55.742512,3786206312
2020-10-29,55.742558,56.304310,53.460052,54.765854,54.765854,3010404352
2020-10-30,54.765961,55.570557,52.526627,53.835033,53.835033,2563994174
2020-10-31,53.835037,56.105198,53.533382,55.590260,55.590260,2657420659
2020-11-01,55.590260,55.974216,54.259636,55.587624,55.587624,2045991010
2020-11-02,55.587322,56.710835,53.205944,53.817482,53.817482,3019889902
2020-11-03,53.817410,54.272400,51.648445,53.819622,53.819622,2580300879
2020-11-04,53.819469,55.007088,51.606560,54.499104,54.499104,3050534139
2020-11-05,54.501873,59.223793,54.501873,58.678497,58.678497,3250514599
2020-11-06,58.676193,63.280354,58.465351,63.131111,63.131111,4083503373
2020-11-07,63.131111,64.402084,57.592213,59.143646,59.143646,4320946722
